rank,bot,games,wins,draws,losses,points,score_percent,performance_score,raw_performance_component,leaderboard_position_component,opponent_quality_component,average_opponent_strength,white_score_percent,black_score_percent,"10+0.1_points","10+0.1_score_percent",timeout_losses,illegal_move_losses,crash_losses,memory_limit_losses,average_move_time_ms,peak_memory_bytes,rating_estimate,rating_95_ci
30,"gpt-5_6-sol/board_04",50,36,5,9,38.5,77.00,68.27,0.77,0.73,0.70,0.47,76.19,77.59,38.5,77.00,0,0,0,0,249.46,25079808,1704.75,113.52
30,"gpt-6-luna/board_08",50,36,5,9,38.5,77.00,68.33,0.77,0.73,0.70,0.49,72.92,80.77,38.5,77.00,0,0,0,0,232.65,29417472,1704.75,113.52
32,"gpt-5_6-sol/board_06",50,34,7,9,37.5,75.00,66.81,0.75,0.72,0.74,0.43,66.67,82.69,37.5,75.00,0,0,0,0,325.54,7962624,1686.34,110.49
32,"gpt-6-luna/board_01",50,37,1,12,37.5,75.00,66.24,0.75,0.72,0.70,0.52,82.69,66.67,37.5,75.00,0,0,0,0,199.76,29405184,1686.34,110.49
32,"gpt-6-luna/board_06",50,37,1,12,37.5,75.00,65.98,0.75,0.72,0.68,0.49,80.00,67.50,37.5,75.00,0,0,0,0,302.28,34463744,1686.34,110.49
35,"gpt-5_6-sol/board_08",50,36,2,12,37.0,74.00,63.03,0.74,0.69,0.57,0.44,86.36,64.29,37.0,74.00,0,0,0,0,216.18,30351360,1677.48,109.14
35,"gpt-6-luna/board_04",50,35,4,11,37.0,74.00,64.45,0.74,0.69,0.67,0.51,70.45,76.79,37.0,74.00,0,0,0,0,290.11,29270016,1677.48,109.14
37,"gpt-6-luna/board_09",50,34,5,11,36.5,73.00,63.00,0.73,0.67,0.65,0.48,75.81,68.42,36.5,73.00,0,0,0,0,220.58,29274112,1668.83,107.90
38,"gpt-5_6-terra/board_09",50,31,6,13,34.0,68.00,59.26,0.68,0.66,0.70,0.49,71.43,63.64,34.0,68.00,0,0,0,0,286.96,32948224,1628.13,102.93
38,"gpt-6-luna/board_07",50,31,6,13,34.0,68.00,57.79,0.68,0.66,0.59,0.47,70.00,66.00,34.0,68.00,0,0,0,0,252.11,16318464,1628.13,102.93
40,"gpt-5_6-terra/board_02",50,30,6,14,33.0,66.00,56.14,0.66,0.64,0.61,0.48,76.00,56.00,33.0,66.00,0,0,0,0,324.76,31125504,1612.80,101.42
41,"gpt-5_6-terra/board_03",50,30,5,15,32.5,65.00,54.70,0.65,0.63,0.57,0.50,59.09,69.64,32.5,65.00,0,0,0,0,282.31,34271232,1605.30,100.76
41,"gpt-5_6-terra/board_04",50,30,5,15,32.5,65.00,54.42,0.65,0.63,0.55,0.53,75.93,52.17,32.5,65.00,0,0,0,0,316.44,36818944,1605.30,100.76
43,"gpt-5_6-terra/board_05",50,29,6,15,32.0,64.00,53.70,0.64,0.61,0.58,0.45,60.00,70.00,32.0,64.00,0,0,0,0,273.91,7987200,1597.88,100.15
44,"gpt-5_6-terra/board_07",50,30,2,18,31.0,62.00,51.87,0.62,0.61,0.58,0.45,68.00,56.00,31.0,62.00,0,0,0,0,330.58,30085120,1583.31,99.09
44,"gpt-5_6-terra/board_10",50,29,4,17,31.0,62.00,50.70,0.62,0.61,0.48,0.49,63.89,60.94,31.0,62.00,8,0,0,0,363.90,43139072,1583.31,99.09
46,"gpt-5_6-terra/board_01",50,27,7,16,30.5,61.00,50.46,0.61,0.59,0.55,0.47,62.00,60.00,30.5,61.00,0,0,0,0,311.51,7909376,1576.13,98.63
46,"gpt-5_6-terra/board_06",50,29,3,18,30.5,61.00,50.00,0.61,0.59,0.51,0.52,60.00,62.00,30.5,61.00,0,0,0,0,296.21,29372416,1576.13,98.63
46,"gpt-5_6-terra/board_08",50,29,3,18,30.5,61.00,49.84,0.61,0.59,0.50,0.49,58.00,64.00,30.5,61.00,0,0,0,0,334.74,31174656,1576.13,98.63
49,"grok-4_6/board_08",50,27,4,19,29.0,58.00,47.25,0.58,0.56,0.51,0.52,67.86,45.45,29.0,58.00,0,0,0,0,240.75,29270016,1554.95,97.51
50,"grok-4_6/board_07",50,27,3,20,28.5,57.00,45.82,0.57,0.55,0.47,0.51,69.23,43.75,28.5,57.00,0,0,0,0,234.71,29536256,1547.99,97.22
51,"grok-4_6/board_01",50,26,4,20,28.0,56.00,45.32,0.56,0.54,0.51,0.47,52.00,60.00,28.0,56.00,0,0,0,0,224.40,25079808,1541.06,96.98
51,"grok-4_6/board_02",50,25,6,19,28.0,56.00,46.13,0.56,0.54,0.58,0.52,52.08,59.62,28.0,56.00,0,0,0,0,210.93,40198144,1541.06,96.98
51,"grok-4_6/board_03",50,25,6,19,28.0,56.00,45.08,0.56,0.54,0.48,0.49,62.50,44.44,28.0,56.00,0,0,0,0,175.90,29274112,1541.06,96.98
51,"grok-4_6/board_04",50,28,0,22,28.0,56.00,45.09,0.56,0.54,0.48,0.50,51.85,60.87,28.0,56.00,0,0,0,0,231.81,25079808,1541.06,96.98
51,"grok-4_6/board_05",50,27,2,21,28.0,56.00,45.03,0.56,0.54,0.48,0.48,63.89,51.56,28.0,56.00,0,0,0,0,230.59,20537344,1541.06,96.98
51,"grok-4_6/board_06",50,28,0,22,28.0,56.00,44.25,0.56,0.54,0.41,0.51,58.62,52.38,28.0,56.00,0,0,0,0,219.88,3727360,1541.06,96.98
57,"grok-4_6/board_10",50,26,3,21,27.5,55.00,43.96,0.55,0.49,0.51,0.45,59.52,51.72,27.5,55.00,0,0,0,0,249.54,31678464,1534.17,96.77
58,"grok-4_6/board_09",50,26,2,22,27.0,54.00,42.42,0.54,0.48,0.45,0.48,45.00,60.00,27.0,54.00,0,0,0,0,236.51,39129088,1527.31,96.60
59,"gpt-6-luna/board_05",50,25,3,22,26.5,53.00,40.08,0.53,0.47,0.31,0.44,54.76,51.72,26.5,53.00,0,0,0,0,205.67,29274112,1520.46,96.47
60,"gpt-6-astra/board_05",50,23,3,24,24.5,49.00,36.69,0.49,0.46,0.29,0.46,50.00,48.21,24.5,49.00,0,0,0,0,292.27,10354688,1493.19,96.32
61,"gpt-5_6-luna/board_03",50,16,10,24,21.0,42.00,31.88,0.42,0.45,0.35,0.57,48.08,35.42,21.0,42.00,0,0,0,0,272.49,30089216,1445.05,97.51
62,"gpt-5_6-luna/board_04",50,14,12,24,20.0,40.00,30.29,0.40,0.44,0.35,0.53,40.00,40.00,20.0,40.00,0,0,0,0,380.98,36655104,1430.98,98.21
62,"gpt-5_6-luna/board_05",50,18,4,28,20.0,40.00,30.12,0.40,0.44,0.32,0.53,40.91,39.29,20.0,40.00,0,0,0,0,331.52,29540352,1430.98,98.21
62,"gpt-5_6-luna/board_06",50,19,2,29,20.0,40.00,30.29,0.40,0.44,0.35,0.54,40.38,39.58,20.0,40.00,0,0,0,0,379.04,29274112,1430.98,98.21
62,"gpt-5_6-luna/board_09",50,17,6,27,20.0,40.00,30.26,0.40,0.44,0.34,0.53,41.07,38.64,20.0,40.00,0,0,0,0,325.18,29274112,1430.98,98.21
66,"DeepSeek-V4-Flash/board_01",50,14,9,27,18.5,37.00,27.70,0.37,0.40,0.34,0.54,46.00,28.00,18.5,37.00,0,0,0,0,233.32,31272960,1409.44,99.59
67,"DeepSeek-V4-Flash/board_09",50,14,7,29,17.5,35.00,25.73,0.35,0.39,0.28,0.56,31.25,38.46,17.5,35.00,2,0,0,0,310.04,29483008,1394.70,100.76
68,"DeepSeek-V4-Pro/board_08",50,10,13,27,16.5,33.00,24.37,0.33,0.39,0.31,0.56,32.00,34.00,16.5,33.00,0,0,0,0,224.62,29274112,1379.59,102.15
69,"DeepSeek-V4-Flash/board_04",50,13,6,31,16.0,32.00,23.42,0.32,0.38,0.28,0.50,27.50,35.00,16.0,32.00,0,0,0,0,235.56,30318592,1371.87,102.93
70,"DeepSeek-V4-Flash/board_03",50,14,3,33,15.5,31.00,22.19,0.31,0.37,0.21,0.51,35.42,26.92,15.5,31.00,0,0,0,0,189.14,36593664,1364.02,103.77
70,"DeepSeek-V4-Flash/board_06",50,12,7,31,15.5,31.00,22.16,0.31,0.37,0.21,0.53,35.48,23.68,15.5,31.00,0,0,0,0,0.00,37343232,1364.02,103.77
70,"DeepSeek-V4-Flash/board_07",50,13,5,32,15.5,31.00,22.34,0.31,0.37,0.24,0.51,27.42,36.84,15.5,31.00,0,0,0,0,229.48,30343168,1364.02,103.77
73,"DeepSeek-V4-Flash/board_02",50,12,6,32,15.0,30.00,21.70,0.30,0.34,0.28,0.48,37.50,25.00,15.0,30.00,0,0,0,0,236.95,32927744,1356.04,104.69
73,"gpt-5_6-luna/board_08",50,13,4,33,15.0,30.00,21.59,0.30,0.34,0.26,0.50,34.78,25.93,15.0,30.00,0,0,0,0,386.53,3715072,1356.04,104.69
75,"DeepSeek-V4-Flash/board_05",50,13,3,34,14.5,29.00,20.61,0.29,0.32,0.23,0.49,43.18,17.86,14.5,29.00,4,0,0,0,464.95,25079808,1347.92,105.68
75,"DeepSeek-V4-Flash/board_08",50,13,3,34,14.5,29.00,20.59,0.29,0.32,0.23,0.51,20.37,39.13,14.5,29.00,0,0,0,0,233.19,25079808,1347.92,105.68
75,"DeepSeek-V4-Flash/board_10",50,13,3,34,14.5,29.00,20.59,0.29,0.32,0.23,0.51,25.00,33.33,14.5,29.00,0,0,0,0,170.47,25075712,1347.92,105.68
78,"DeepSeek-V4-Pro/board_09",50,11,0,39,11.0,22.00,15.14,0.22,0.29,0.15,0.57,19.35,26.32,11.0,22.00,25,0,0,0,457.94,30412800,1285.64,115.22
79,"DeepSeek-V4-Pro/board_10",50,4,13,33,10.5,21.00,14.50,0.21,0.28,0.17,0.55,21.67,20.00,10.5,21.00,0,0,0,0,277.86,37511168,1275.73,117.07
80,"DeepSeek-V4-Pro/board_05",50,5,9,36,9.5,19.00,13.03,0.19,0.28,0.15,0.53,19.44,18.75,9.5,19.00,0,0,0,0,192.21,21266432,1254.89,121.28
80,"DeepSeek-V4-Pro/board_06",50,8,3,39,9.5,19.00,13.03,0.19,0.28,0.15,0.53,27.08,11.54,9.5,19.00,0,0,2,0,389.32,29274112,1254.89,121.28
80,"DeepSeek-V4-Pro/board_07",50,9,1,40,9.5,19.00,13.03,0.19,0.28,0.15,0.54,19.57,18.52,9.5,19.00,0,0,0,0,347.69,33792000,1254.89,121.28
80,"gpt-5_6-luna/board_10",50,9,1,40,9.5,19.00,12.92,0.19,0.28,0.13,0.50,7.14,27.59,9.5,19.00,38,0,0,0,2219.67,3661824,1254.89,121.28
80,"grok-4_3/board_03",50,8,3,39,9.5,19.00,13.02,0.19,0.28,0.15,0.59,26.32,14.52,9.5,19.00,21,0,0,0,436.30,31973376,1254.89,121.28
85,"DeepSeek-V4-Pro/board_01",50,9,0,41,9.0,18.00,12.12,0.18,0.23,0.14,0.51,20.00,16.67,9.0,18.00,36,0,0,0,1370.99,36548608,1243.87,123.68
85,"gpt-5_6-luna/board_02",50,9,0,41,9.0,18.00,11.97,0.18,0.23,0.10,0.54,20.00,16.00,9.0,18.00,41,0,0,0,3302.18,25079808,1243.87,123.68
87,"Mistral-Large-3/board_06",50,5,6,39,8.0,16.00,10.70,0.16,0.21,0.13,0.55,16.67,15.52,8.0,16.00,0,0,0,0,0.00,29274112,1220.41,129.21
87,"Mistral-Large-3/board_07",50,3,10,37,8.0,16.00,10.74,0.16,0.21,0.14,0.57,17.86,13.64,8.0,16.00,0,0,0,0,222.14,3715072,1220.41,129.21
87,"gpt-5_6-luna/board_01",50,8,0,42,8.0,16.00,10.68,0.16,0.21,0.13,0.50,11.11,21.74,8.0,16.00,0,0,41,0,560.27,189669376,1220.41,129.21
87,"grok-4_3/board_01",50,4,8,38,8.0,16.00,10.72,0.16,0.21,0.14,0.59,6.25,20.59,8.0,16.00,0,0,0,0,310.86,25079808,1220.41,129.21
87,"grok-4_3/board_04",50,6,4,40,8.0,16.00,10.77,0.16,0.21,0.15,0.55,20.59,6.25,8.0,16.00,1,0,0,0,307.70,29847552,1220.41,129.21
92,"Mistral-Large-3/board_10",50,7,1,42,7.5,15.00,9.82,0.15,0.17,0.11,0.55,16.07,13.64,7.5,15.00,0,0,0,0,362.93,30158848,1207.85,132.41
92,"grok-4_3/board_05",50,4,7,39,7.5,15.00,9.92,0.15,0.17,0.14,0.54,20.37,8.70,7.5,15.00,0,0,0,0,0.00,34275328,1207.85,132.41
94,"Mistral-Large-3/board_01",50,2,10,38,7.0,14.00,9.16,0.14,0.15,0.12,0.53,12.00,16.00,7.0,14.00,0,0,0,0,275.40,44646400,1194.63,135.96
94,"Mistral-Large-3/board_05",50,7,0,43,7.0,14.00,9.04,0.14,0.15,0.08,0.52,16.67,11.54,7.0,14.00,22,19,0,0,1658.25,29274112,1194.63,135.96
94,"Mistral-Large-3/board_08",50,7,0,43,7.0,14.00,9.05,0.14,0.15,0.09,0.52,11.11,15.62,7.0,14.00,40,0,0,0,2384.40,30191616,1194.63,135.96
94,"Mistral-Large-3/board_09",50,4,6,40,7.0,14.00,9.15,0.14,0.15,0.12,0.55,15.00,12.50,7.0,14.00,2,0,0,0,119.13,33583104,1194.63,135.96
98,"Mistral-Large-3/board_04",50,4,5,41,6.5,13.00,8.41,0.13,0.11,0.12,0.53,13.46,12.50,6.5,13.00,0,0,0,0,11.98,33103872,1180.66,139.93
98,"grok-4_3/board_10",50,3,7,40,6.5,13.00,8.39,0.13,0.11,0.12,0.54,14.81,10.87,6.5,13.00,0,0,0,0,0.00,29446144,1180.66,139.93
100,"Mistral-Large-3/board_02",50,6,0,44,6.0,12.00,7.56,0.12,0.09,0.06,0.44,4.00,20.00,6.0,12.00,0,44,0,0,483.73,30212096,1165.82,144.39
100,"gpt-5_6-luna/board_07",50,6,0,44,6.0,12.00,7.64,0.12,0.09,0.09,0.45,7.41,17.39,6.0,12.00,9,0,35,0,5467.54,265388032,1165.82,144.39
100,"grok-4_3/board_07",50,6,0,44,6.0,12.00,7.67,0.12,0.09,0.11,0.54,19.05,6.90,6.0,12.00,38,0,0,0,1349.17,29274112,1165.82,144.39
100,"grok-4_3/board_09",50,6,0,44,6.0,12.00,7.59,0.12,0.09,0.07,0.50,0.00,18.75,6.0,12.00,44,0,0,0,10000.16,3604480,1165.82,144.39
104,"grok-4_3/board_02",50,4,3,43,5.5,11.00,6.95,0.11,0.06,0.10,0.52,18.97,0.00,5.5,11.00,33,0,0,0,1143.02,25079808,1149.98,149.45
105,"DeepSeek-V4-Pro/board_03",50,5,0,45,5.0,10.00,6.18,0.10,0.05,0.04,0.51,3.70,17.39,5.0,10.00,45,0,0,0,10000.18,30490624,1132.94,155.24
105,"DeepSeek-V4-Pro/board_04",50,5,0,45,5.0,10.00,6.23,0.10,0.05,0.07,0.52,0.00,20.00,5.0,10.00,45,0,0,0,10000.07,29306880,1132.94,155.24
105,"Mistral-Large-3/board_03",50,5,0,45,5.0,10.00,6.27,0.10,0.05,0.09,0.49,4.00,16.00,5.0,10.00,45,0,0,0,7285.53,53915648,1132.94,155.24
105,"grok-4_3/board_08",50,5,0,45,5.0,10.00,6.24,0.10,0.05,0.07,0.56,3.70,17.39,5.0,10.00,45,0,0,0,4187.37,25079808,1132.94,155.24
109,"DeepSeek-V4-Pro/board_02",50,4,0,46,4.0,8.00,4.86,0.08,0.01,0.03,0.49,7.41,8.70,4.0,8.00,46,0,0,0,10000.22,41881600,1094.30,169.77
110,"grok-4_3/board_06",50,3,0,47,3.0,6.00,3.62,0.06,0.00,0.02,0.49,0.00,16.67,3.0,6.00,47,0,0,0,8879.43,25079808,1046.95,190.46
