ChessLLMBench Team Tournament

Teams: 11
Players: 110
Games: 2750/2750
Time Controls: 10+0.1

Team standings
Rank Team                        MPBoard Pts      MW     MD     ML    Perf.
1    gpt-6-astra               99.0    451.5      49      1      0    88.22
2    gpt-6-sol                 87.0    411.5      42      3      5    77.09
3    gpt-5_6-sol               81.0    393.5      40      1      9    71.46
4    gpt-6-luna                73.0    367.0      36      1     13    64.24
5    gpt-5_6-terra             60.0    317.5      30      0     20    52.84
6    grok-4_6                  50.0    280.0      25      0     25    44.60
7    DeepSeek-V4-Flash         37.0    157.0      18      1     31    22.91
8    gpt-5_6-luna              33.0    148.5      16      1     33    21.00
9    DeepSeek-V4-Pro           16.0     89.5       8      0     42    11.95
10   Mistral-Large-3            8.0     69.0       3      2     45     8.85
11   grok-4_3                   6.0     65.0       2      2     46     8.07

Individual player performance
Rank Player                         Games     W     D     L    Points   Score%    Perf.
18   gpt-6-sol/board_01                50    39     3     8      40.5    81.00    74.99
18   gpt-6-sol/board_02                50    38     5     7      40.5    81.00    75.27
18   gpt-6-sol/board_09                50    39     3     8      40.5    81.00    74.26
18   gpt-6-sol/board_10                50    38     5     7      40.5    81.00    74.68
22   gpt-5_6-sol/board_05              50    39     2     9      40.0    80.00    72.66
22   gpt-5_6-sol/board_10              50    37     6     7      40.0    80.00    73.29
22   gpt-6-sol/board_06                50    38     4     8      40.0    80.00    73.21
25   gpt-5_6-sol/board_01              50    37     5     8      39.5    79.00    71.25
25   gpt-5_6-sol/board_03              50    38     3     9      39.5    79.00    70.55
25   gpt-5_6-sol/board_07              50    37     5     8      39.5    79.00    71.24
25   gpt-6-luna/board_02               50    35     9     6      39.5    79.00    71.63
29   gpt-6-luna/board_03               50    38     2    10      39.0    78.00    69.66
30   gpt-5_6-sol/board_04              50    36     5     9      38.5    77.00    68.27
30   gpt-6-luna/board_08               50    36     5     9      38.5    77.00    68.33
32   gpt-5_6-sol/board_06              50    34     7     9      37.5    75.00    66.81
32   gpt-6-luna/board_01               50    37     1    12      37.5    75.00    66.24
32   gpt-6-luna/board_06               50    37     1    12      37.5    75.00    65.98
35   gpt-5_6-sol/board_08              50    36     2    12      37.0    74.00    63.03
35   gpt-6-luna/board_04               50    35     4    11      37.0    74.00    64.45
37   gpt-6-luna/board_09               50    34     5    11      36.5    73.00    63.00
38   gpt-5_6-terra/board_09            50    31     6    13      34.0    68.00    59.26
38   gpt-6-luna/board_07               50    31     6    13      34.0    68.00    57.79
40   gpt-5_6-terra/board_02            50    30     6    14      33.0    66.00    56.14
41   gpt-5_6-terra/board_03            50    30     5    15      32.5    65.00    54.70
41   gpt-5_6-terra/board_04            50    30     5    15      32.5    65.00    54.42
43   gpt-5_6-terra/board_05            50    29     6    15      32.0    64.00    53.70
44   gpt-5_6-terra/board_07            50    30     2    18      31.0    62.00    51.87
44   gpt-5_6-terra/board_10            50    29     4    17      31.0    62.00    50.70
46   gpt-5_6-terra/board_01            50    27     7    16      30.5    61.00    50.46
46   gpt-5_6-terra/board_06            50    29     3    18      30.5    61.00    50.00
46   gpt-5_6-terra/board_08            50    29     3    18      30.5    61.00    49.84
49   grok-4_6/board_08                 50    27     4    19      29.0    58.00    47.25
50   grok-4_6/board_07                 50    27     3    20      28.5    57.00    45.82
51   grok-4_6/board_01                 50    26     4    20      28.0    56.00    45.32
51   grok-4_6/board_02                 50    25     6    19      28.0    56.00    46.13
51   grok-4_6/board_03                 50    25     6    19      28.0    56.00    45.08
51   grok-4_6/board_04                 50    28     0    22      28.0    56.00    45.09
51   grok-4_6/board_05                 50    27     2    21      28.0    56.00    45.03
51   grok-4_6/board_06                 50    28     0    22      28.0    56.00    44.25
57   grok-4_6/board_10                 50    26     3    21      27.5    55.00    43.96
58   grok-4_6/board_09                 50    26     2    22      27.0    54.00    42.42
59   gpt-6-luna/board_05               50    25     3    22      26.5    53.00    40.08
60   gpt-6-astra/board_05              50    23     3    24      24.5    49.00    36.69
61   gpt-5_6-luna/board_03             50    16    10    24      21.0    42.00    31.88
62   gpt-5_6-luna/board_04             50    14    12    24      20.0    40.00    30.29
62   gpt-5_6-luna/board_05             50    18     4    28      20.0    40.00    30.12
62   gpt-5_6-luna/board_06             50    19     2    29      20.0    40.00    30.29
62   gpt-5_6-luna/board_09             50    17     6    27      20.0    40.00    30.26
66   DeepSeek-V4-Flash/board_01        50    14     9    27      18.5    37.00    27.70
67   DeepSeek-V4-Flash/board_09        50    14     7    29      17.5    35.00    25.73
68   DeepSeek-V4-Pro/board_08          50    10    13    27      16.5    33.00    24.37
69   DeepSeek-V4-Flash/board_04        50    13     6    31      16.0    32.00    23.42
70   DeepSeek-V4-Flash/board_03        50    14     3    33      15.5    31.00    22.19
70   DeepSeek-V4-Flash/board_06        50    12     7    31      15.5    31.00    22.16
70   DeepSeek-V4-Flash/board_07        50    13     5    32      15.5    31.00    22.34
73   DeepSeek-V4-Flash/board_02        50    12     6    32      15.0    30.00    21.70
73   gpt-5_6-luna/board_08             50    13     4    33      15.0    30.00    21.59
75   DeepSeek-V4-Flash/board_05        50    13     3    34      14.5    29.00    20.61
75   DeepSeek-V4-Flash/board_08        50    13     3    34      14.5    29.00    20.59
75   DeepSeek-V4-Flash/board_10        50    13     3    34      14.5    29.00    20.59
78   DeepSeek-V4-Pro/board_09          50    11     0    39      11.0    22.00    15.14
79   DeepSeek-V4-Pro/board_10          50     4    13    33      10.5    21.00    14.50
80   DeepSeek-V4-Pro/board_05          50     5     9    36       9.5    19.00    13.03
80   DeepSeek-V4-Pro/board_06          50     8     3    39       9.5    19.00    13.03
80   DeepSeek-V4-Pro/board_07          50     9     1    40       9.5    19.00    13.03
80   gpt-5_6-luna/board_10             50     9     1    40       9.5    19.00    12.92
80   grok-4_3/board_03                 50     8     3    39       9.5    19.00    13.02
85   DeepSeek-V4-Pro/board_01          50     9     0    41       9.0    18.00    12.12
85   gpt-5_6-luna/board_02             50     9     0    41       9.0    18.00    11.97
87   Mistral-Large-3/board_06          50     5     6    39       8.0    16.00    10.70
87   Mistral-Large-3/board_07          50     3    10    37       8.0    16.00    10.74
87   gpt-5_6-luna/board_01             50     8     0    42       8.0    16.00    10.68
87   grok-4_3/board_01                 50     4     8    38       8.0    16.00    10.72
87   grok-4_3/board_04                 50     6     4    40       8.0    16.00    10.77
92   Mistral-Large-3/board_10          50     7     1    42       7.5    15.00     9.82
92   grok-4_3/board_05                 50     4     7    39       7.5    15.00     9.92
94   Mistral-Large-3/board_01          50     2    10    38       7.0    14.00     9.16
94   Mistral-Large-3/board_05          50     7     0    43       7.0    14.00     9.04
94   Mistral-Large-3/board_08          50     7     0    43       7.0    14.00     9.05
94   Mistral-Large-3/board_09          50     4     6    40       7.0    14.00     9.15
98   Mistral-Large-3/board_04          50     4     5    41       6.5    13.00     8.41
98   grok-4_3/board_10                 50     3     7    40       6.5    13.00     8.39
100  Mistral-Large-3/board_02          50     6     0    44       6.0    12.00     7.56
100  gpt-5_6-luna/board_07             50     6     0    44       6.0    12.00     7.64
100  grok-4_3/board_07                 50     6     0    44       6.0    12.00     7.67
100  grok-4_3/board_09                 50     6     0    44       6.0    12.00     7.59
104  grok-4_3/board_02                 50     4     3    43       5.5    11.00     6.95
105  DeepSeek-V4-Pro/board_03          50     5     0    45       5.0    10.00     6.18
105  DeepSeek-V4-Pro/board_04          50     5     0    45       5.0    10.00     6.23
105  Mistral-Large-3/board_03          50     5     0    45       5.0    10.00     6.27
105  grok-4_3/board_08                 50     5     0    45       5.0    10.00     6.24
109  DeepSeek-V4-Pro/board_02          50     4     0    46       4.0     8.00     4.86
110  grok-4_3/board_06                 50     3     0    47       3.0     6.00     3.62
